years_of_experience,rating,completion_rate,total_trips,completed_trips,region_familiarity,on_time_delivery_rate,avg_speed_kmh,accidents_last_3_years,license_type,night_shift_capable,last_medical_check_months,training_courses_completed,avg_trip_distance_km,score
0,2.3,0.772,10,7,0,0.713,73.9,1,C,0,20,1,69.5,38.96
10,4,0.848,205,173,1,0.94,65.1,0,A,1,17,6,173,90.69
2,3.7,0.788,110,86,1,0.722,66.2,2,A,1,11,1,90.1,66.78
6,4.7,0.906,160,144,1,0.865,89.1,1,C,0,16,5,112.2,81.55
3,3.6,0.881,97,85,1,0.768,83,1,A,0,32,2,146.4,75.97
5,3.5,0.91,125,113,1,0.796,88.4,1,A,0,26,4,122.3,72.72
5,3.7,0.91,104,94,0,0.914,59.7,0,A,1,9,3,74.6,69.42
2,4,0.799,70,55,0,0.762,58.2,3,B,1,35,1,75.8,45.05
11,4.2,1,220,220,1,0.92,74.7,0,B,1,3,9,211.5,91.72
8,3.8,0.969,208,201,1,0.842,75.2,0,C,0,31,6,116.7,92.25
10,4.2,0.923,257,237,1,0.891,82.6,0,C,1,7,6,176.2,92.3
9,3.9,0.962,181,174,1,0.884,93.8,0,C,0,2,5,131.2,88.76
5,3.8,0.85,98,83,1,0.828,61.4,0,B,0,25,4,76.9,78.36
10,5,0.987,247,243,1,0.977,72.5,1,C,0,12,7,174.4,90.17
1,3.4,0.786,62,48,0,0.753,83.6,0,A,0,30,1,78.1,44.14
2,3.3,0.777,49,38,1,0.707,54.1,2,A,1,30,1,143.7,53.82
0,3.1,0.724,13,9,1,0.738,73.7,0,A,0,29,2,113.8,52.73
3,2.9,0.812,84,68,0,0.835,68.4,1,B,0,11,4,142,46.26
3,3.9,0.825,62,51,0,0.764,74.2,2,B,1,23,3,136,44.85
2,3.4,0.76,56,42,1,0.688,58.3,1,C,1,17,1,116.7,57.54
8,4.1,0.877,163,142,0,0.889,85.5,0,C,0,13,7,103,76.33
3,4.8,0.795,110,87,1,0.876,61.6,0,A,1,33,3,97,73.34
2,3.6,0.753,109,82,1,0.684,51,2,B,0,1,1,116.1,63.89
5,3.5,0.9,99,89,0,0.81,78.3,1,A,0,13,5,111.3,64.15
1,3.1,0.854,42,35,0,0.752,40,2,B,1,3,0,87.1,38.16
8,4.6,0.941,166,156,1,0.93,70.2,0,A,1,16,5,165.7,97.74
0,3.2,0.776,6,4,0,0.609,68.5,2,C,1,7,2,111.7,33.67
11,3.9,0.929,215,199,0,1,90.6,0,C,1,3,7,140.3,83.36
8,4.5,0.836,152,127,1,0.936,91.7,0,A,0,14,5,164.1,90.97
2,3.2,0.828,82,67,0,0.739,89.3,3,C,0,16,4,112.9,41.24
0,3.9,0.788,78,61,0,0.847,82.7,1,B,0,4,3,50.3,50.7
8,4.6,1,209,209,1,0.982,79.3,0,C,1,31,6,131.8,91.41
7,3.8,0.93,138,128,1,0.94,89,0,C,0,13,4,140.5,90.86
7,4.5,0.891,197,175,1,0.929,77.6,2,C,0,27,7,177.7,85.99
8,4.2,0.887,211,187,1,0.944,85.2,0,C,1,1,7,131.6,91.43
0,3.5,0.83,13,10,1,0.723,57.8,1,B,1,25,1,92.5,51.51
3,3.7,0.775,69,53,0,0.756,75,0,B,1,11,2,139.1,53.34
1,3,0.851,64,54,0,0.701,60.8,1,C,0,9,0,143.6,45.4
9,4,0.848,179,151,1,0.864,76.4,0,C,1,7,8,158.8,91.12
6,4.3,0.834,148,123,1,0.819,79.6,0,B,1,14,6,64.4,89.92
3,3.4,0.729,71,51,1,0.752,94.6,4,A,1,30,1,131.7,54.44
0,3,0.811,16,12,1,0.798,69.7,1,B,0,24,3,86.3,53.05
3,3.2,0.833,95,79,0,0.674,69.4,2,C,0,3,3,78.7,53.48
3,3.7,0.793,132,104,1,0.835,59.5,1,A,1,27,3,125.3,66.93
7,4.9,0.829,203,168,0,0.8,86.3,0,B,1,1,4,192,78
6,3.5,0.931,164,152,1,0.858,70,1,A,1,26,4,134.3,80.11
9,4.3,0.896,237,212,1,0.871,83,0,C,0,6,5,103.3,92.11
4,4.2,0.796,78,62,0,0.879,79.4,1,C,1,12,4,155.3,57.71
1,3.3,0.89,78,69,0,0.735,81.7,1,B,0,35,3,88.7,43.05
7,4.2,0.843,190,160,1,0.881,85.6,1,B,1,10,7,157.4,86.37
7,3.6,0.932,153,142,1,0.911,60.8,0,C,1,9,5,137.9,85.5
5,4,0.791,134,105,1,0.745,51.9,0,A,0,23,4,133.7,83.62
8,4.1,0.871,212,184,1,0.877,85.4,2,C,0,30,6,164,86.68
4,4.1,0.86,99,85,1,0.866,72,0,B,1,22,3,136.2,77.41
5,4.3,0.845,123,103,0,0.776,77.2,0,B,0,9,3,124.4,70.54
4,4.7,0.847,127,107,0,0.843,91.6,1,B,0,19,4,89.2,63.69
0,3.4,0.753,73,54,0,0.684,57.6,1,B,0,8,3,85.8,44.52
1,3.4,0.714,53,37,0,0.766,82,3,C,0,4,3,111.7,42.67
0,3.3,0.853,54,46,0,0.818,57.7,6,C,0,5,3,57.4,38.62
6,3.8,0.838,132,110,1,0.735,92.8,1,C,0,19,4,94.8,80.57
3,3.7,0.835,113,94,1,0.713,78.5,0,A,1,18,3,144,71.24
4,3.6,0.87,78,67,0,0.787,52.9,0,B,0,29,3,162.7,61.43
10,4.4,0.932,209,194,1,1,75,0,C,1,19,6,161.2,93.44
2,4,0.772,53,40,1,0.77,91,3,C,0,6,3,114,64.22
4,3.3,0.893,146,130,0,0.753,92.5,1,B,1,5,3,123.3,59.1
7,4.5,0.901,197,177,1,0.907,82.8,0,C,1,5,7,70.6,99.13
2,4,0.817,98,80,0,0.711,72.3,1,C,0,8,4,102.2,51.44
0,3.2,0.789,79,62,1,0.755,67.9,2,B,0,27,0,124,56.05
2,2.6,0.891,104,92,0,0.806,73.2,1,C,1,18,1,60.8,48.61
1,3.1,0.757,91,68,1,0.674,64.8,2,C,1,26,0,50,54.3
10,4.9,0.937,243,227,0,0.935,94.5,0,C,1,16,9,138.1,76.05
8,4.1,0.863,208,179,1,0.941,83.9,1,C,0,22,5,129.8,88.04
6,3.5,0.765,174,133,0,0.719,62.4,0,C,0,23,6,148,62.03
9,4.1,0.805,182,146,1,0.895,86.4,0,A,1,3,8,191.6,90.54
8,4.5,0.838,216,181,1,0.817,79,0,C,1,3,7,182.9,89.63
2,3.7,0.774,55,42,1,0.743,64.3,1,A,0,12,2,115.6,60.31
9,4.2,1,221,221,1,0.962,101.3,0,A,1,23,8,104.3,91
5,3.6,0.883,129,113,1,0.931,73.7,4,C,0,11,3,72.1,70.29
8,4,0.929,203,188,0,0.898,53.5,0,C,1,29,4,166,69.73
9,3.9,0.871,180,156,1,0.973,75.6,0,B,1,6,5,104.4,91.74
3,4.2,0.824,107,88,1,0.735,81.4,0,B,1,16,1,120.7,73.25
1,3.2,0.909,29,26,1,0.741,55.4,1,C,0,34,3,96.3,60.34
2,3.9,0.747,70,52,1,0.765,79.5,1,C,0,11,4,82.1,63.96
4,4.3,0.857,125,107,0,0.815,59,0,A,0,11,5,35.6,63.48
8,4.5,0.97,164,159,0,0.895,93,0,C,0,25,4,150.1,77.06
9,4.1,0.951,217,206,1,0.906,71.6,0,B,0,19,6,167.4,93.96
0,3.4,0.87,76,66,1,0.803,60.8,5,B,0,32,2,63.3,55.48
5,3.8,0.859,136,116,0,0.809,67.4,1,C,0,8,5,87.2,63.82
4,3.3,0.865,93,80,1,0.756,78.2,0,C,1,12,4,120.8,75.95
2,3.6,0.813,103,83,1,0.713,90.1,3,C,1,35,2,52.4,60.01
1,2.8,0.82,67,54,0,0.773,66.7,6,A,0,6,3,106.5,37.9
3,4,0.775,65,50,1,0.875,69.4,1,B,0,21,3,135.7,70.85
10,4.2,0.956,211,201,1,0.917,73.1,0,B,1,26,8,101.2,89.29
3,3.6,0.836,68,56,1,0.888,50,0,B,0,1,4,88.2,67.71
5,3.9,0.851,128,108,1,0.821,66.8,2,B,0,17,5,118.5,76.25
7,3.9,0.963,166,159,1,0.877,60.4,1,B,1,35,7,135.4,86.04
3,3.8,0.808,83,67,0,0.726,46.9,2,B,1,27,3,77.6,51.02
11,4.3,0.99,208,205,0,0.962,80.6,0,B,1,2,9,127.9,80.15
11,4.8,0.995,226,224,0,0.936,75,0,C,1,1,6,154.2,85.62
2,2.9,0.85,58,49,0,0.725,84.5,3,C,1,10,2,115.3,37.02
4,3.7,0.786,82,64,1,0.701,60.7,2,B,0,31,4,129.1,67.33
3,4.3,0.839,87,72,0,0.87,77.5,4,C,0,5,4,121.5,56
2,3,0.905,65,58,0,0.836,75.8,2,A,0,13,1,133.5,50.17
0,2.9,0.689,59,40,0,0.695,81,1,B,1,24,3,48.6,41.53
6,4.1,0.852,158,134,1,0.832,71.8,1,C,1,27,5,116.7,78.21
4,3.7,0.893,100,89,0,0.815,86.8,0,A,0,1,4,106.5,63.87
0,3.3,0.774,79,61,1,0.668,71.7,1,A,1,20,2,20,55.95
2,3.6,0.848,66,55,1,0.709,81.7,4,C,0,8,3,102.7,60.19
10,4.6,0.987,212,209,0,0.989,108.7,0,C,1,3,8,159.1,85.35
2,3.9,0.819,43,35,1,0.744,66.5,1,B,1,32,1,61.9,67.73
1,3.5,0.819,97,79,1,0.755,68.5,2,B,0,25,3,114.1,61.37
4,3.6,0.839,114,95,0,0.716,66.7,2,C,1,25,5,136.2,49.8
11,4.8,0.945,263,248,1,0.943,100,0,C,1,14,8,180,91.14
2,4.2,0.912,91,82,0,0.727,99.3,2,C,1,27,4,44.7,52.55
6,3.9,0.859,160,137,0,0.866,82.8,1,B,0,32,3,98.8,67.79
7,3.6,0.858,151,129,1,0.909,56.2,1,C,1,27,6,145.1,80.85
2,3.9,0.859,94,80,1,0.842,57.4,2,A,0,4,2,79.9,66.16
7,4,0.833,186,154,1,0.821,89.4,0,C,1,11,4,129.1,90.81
3,2.7,0.79,117,92,1,0.71,55.8,3,C,0,3,3,71,60.33
6,4.2,0.831,184,152,0,0.812,66.8,0,B,0,25,6,133.8,74.63
6,3.7,0.849,163,138,0,0.804,66.4,1,A,0,24,3,173.1,62.51
5,3.8,0.838,114,95,1,0.839,71.6,0,B,0,9,5,129.7,83.29
1,3.5,0.829,81,67,0,0.672,69.6,3,A,0,8,3,117.1,42.96
8,4.2,0.872,219,190,0,0.794,54.3,0,B,0,31,7,170.3,77.34
3,3.8,0.858,67,57,1,0.77,51.2,0,C,0,17,3,93.3,76.87
2,3.3,0.85,41,34,0,0.803,50,0,C,0,31,1,90.4,49.13
0,3.4,0.747,33,24,1,0.648,48.4,3,A,0,4,2,124.1,53.47
5,3.7,0.89,157,139,0,0.875,72.7,1,C,0,4,5,142,61.91
6,4.2,0.908,184,167,1,0.875,76.3,0,C,1,8,5,156.8,83.68
0,3.4,0.692,60,41,1,0.76,77.2,2,B,0,6,2,85,48.44
5,3.4,0.863,162,139,1,0.785,79.2,1,B,0,9,5,108.2,73.82
2,3.9,0.782,75,58,0,0.666,61,2,C,0,8,4,87.9,52.74
6,3.7,0.927,115,106,1,0.892,76.8,1,C,1,32,5,169.3,82.22
1,3.6,0.768,29,22,1,0.738,79.2,1,B,0,15,0,88,56.12
7,4.2,0.808,157,126,1,0.855,72.8,1,C,1,18,5,173.4,85.04
3,4.3,0.819,59,48,1,0.723,65.8,0,A,0,23,3,146.2,72.87
10,4.3,0.872,255,222,1,0.957,68.7,0,C,1,5,6,187.6,94.99
1,3.2,0.836,66,55,0,0.712,56.8,2,B,0,27,1,112.1,41.93
3,3.5,0.78,99,77,1,0.774,77.7,1,B,1,33,1,154.9,70.03
1,3.2,0.793,97,76,1,0.708,66.5,5,A,0,2,3,62.6,54.42
10,4.7,0.994,226,224,1,0.973,103.5,0,B,1,28,9,147.6,95.39
9,3.6,0.958,199,190,0,0.866,70.4,0,B,1,24,6,114.2,77.88
2,3,0.831,90,74,0,0.786,77.1,0,B,0,21,2,51.1,53.38
6,3.5,0.855,175,149,1,0.873,78.6,3,C,1,31,4,126.7,75.2
8,4.5,0.908,185,167,0,0.899,75.9,0,B,1,11,7,152.1,77.07
5,4.5,0.883,153,135,0,0.913,67.3,0,A,0,28,6,135.2,71.86
5,3.7,0.799,142,113,0,0.816,79.7,1,B,0,4,3,99.1,59.03
2,3.4,0.85,45,38,1,0.812,74.5,0,B,1,16,4,83.6,69.54
1,3.3,0.739,70,51,0,0.72,68.9,4,A,0,12,1,113.4,43.02
9,4.7,0.931,169,157,1,0.959,83.6,0,A,1,22,7,108.2,92.99
10,4,0.861,231,198,1,0.838,80.4,0,C,1,35,8,160.4,97.44
6,4,0.96,174,167,1,0.874,54.3,0,A,0,16,4,167.2,82.51
3,3.9,0.859,72,61,1,0.731,70.5,2,C,0,24,4,96,66.15
3,3.8,0.743,121,89,0,0.759,66.3,0,B,1,35,2,91.4,54.45
7,4.1,0.875,191,167,1,0.884,98.9,1,C,0,28,7,173.3,85.4
9,4.7,0.877,197,172,1,0.942,86.1,0,B,1,29,7,109.6,97.65
9,3.2,0.871,183,159,1,0.924,80.9,0,C,1,21,5,127.9,87.9
8,4.4,0.896,172,154,0,0.872,82.6,0,B,0,25,7,121,74.63
6,3.6,0.815,135,110,1,0.791,61.7,1,B,1,31,3,148.8,77.72
1,2.6,0.832,72,59,1,0.626,59.2,3,A,1,15,2,39.9,54.26
1,3.5,0.829,92,76,1,0.745,62.5,0,C,0,35,0,125,64.59
9,4.8,0.92,193,177,1,0.972,83.2,0,C,1,22,5,151.2,97.72
6,3.9,0.861,127,109,1,0.848,68.8,0,B,1,5,4,159.4,84.29
0,3.6,0.813,54,43,0,0.715,59,4,A,0,13,0,117.2,39.43
1,4,0.833,58,48,1,0.75,53.7,1,C,0,32,2,64.4,61.3
6,4.4,0.885,120,106,1,0.83,74.3,0,C,0,3,6,128.6,85.41
0,3.9,0.714,7,4,1,0.699,67,2,B,1,15,0,73.2,47.3
1,3.6,0.754,84,63,0,0.699,71.6,4,C,0,27,3,86,45.54
5,3.8,0.835,141,117,1,0.771,64.1,1,B,1,27,4,102.9,72.03
7,3.4,0.802,191,153,0,0.839,79.9,0,A,1,30,6,169.4,68.94
6,3.8,0.873,144,125,1,0.841,61.5,2,A,1,6,5,122.4,80.75
2,3.1,0.878,53,46,1,0.869,65.4,2,B,0,25,4,86,58.2
7,4.9,0.938,131,122,0,0.843,79.1,0,B,0,28,6,169.7,79.06
2,3.4,0.844,74,62,1,0.757,64.9,3,A,1,22,2,121.1,55
3,3.6,0.857,120,102,1,0.774,50.8,2,A,1,4,4,112.6,68.32
7,4.2,0.986,201,198,1,0.876,58.2,0,C,1,15,6,124.2,93.16
6,3.9,0.904,143,129,1,0.881,76.7,0,A,1,26,4,171.9,79.86
9,4.9,0.949,230,218,1,1,85.5,0,A,1,18,6,120.3,98.29
6,3.7,0.79,137,108,1,0.805,78.1,0,C,0,9,3,160.2,84.44
5,3.9,0.915,132,120,0,0.866,79.7,1,B,0,4,5,138.8,68.92
1,3,0.814,36,29,0,0.642,63.1,1,A,0,5,3,50,43.18
3,3,0.817,66,53,1,0.755,78.4,2,C,1,6,1,106.2,59.02
2,3.2,0.791,94,74,1,0.826,72,3,C,0,12,4,56.4,57.56
2,3.4,0.78,42,32,1,0.743,60.3,2,B,0,31,1,85.6,55.4
11,4.3,0.993,258,256,1,0.998,87.7,0,B,1,9,7,176.4,85.88
3,3.3,0.819,119,97,0,0.744,73.1,2,C,0,7,1,73.6,51.21
9,3.7,0.877,188,164,0,0.915,98.6,1,C,1,29,5,81.6,70.49
6,3.9,0.823,147,120,1,0.913,90.6,1,B,1,14,3,124.2,80.87
8,3.5,0.898,164,147,1,0.832,75.9,1,C,1,20,6,150.4,84.96
4,4,0.817,126,102,1,0.902,66,3,C,1,32,2,100.7,70.22
5,3.8,0.819,137,112,1,0.734,91.2,2,B,1,22,4,119.5,74.21
4,3.1,0.765,93,71,0,0.753,77.6,4,C,0,18,5,106.6,44.7
2,3.3,0.855,98,83,1,0.726,65.9,3,B,0,25,3,65.5,61.42
7,3.7,0.869,132,114,1,0.849,51.6,1,C,1,31,5,194.4,82.51
2,3.6,0.753,44,33,0,0.695,58.9,1,B,0,35,3,105.5,39.94
0,3.7,0.766,43,32,1,0.659,55.1,3,A,1,26,3,67.2,53.86
6,3.2,0.889,118,104,1,0.791,72.2,0,B,1,4,6,103.3,81.35
1,3.4,0.795,91,72,1,0.764,73.9,2,A,1,20,3,76.1,61.53
10,4.3,0.926,253,234,1,0.923,89.3,0,B,1,34,8,149.1,92.45
11,4.8,0.932,222,206,1,0.93,99.5,0,C,1,12,8,169.1,90.61
10,4.5,0.853,248,211,1,0.927,91.2,0,C,1,16,9,194.4,94.57
3,3.3,0.868,74,64,1,0.715,53.9,3,A,1,5,4,79.9,64.77
0,3.1,0.695,55,38,1,0.699,77.4,3,B,0,35,1,85.3,50.52
10,4.1,0.939,221,207,1,0.934,100.8,0,B,1,27,9,184,95.71
4,4.1,0.865,149,128,1,0.804,91.2,0,C,0,1,2,91.8,82.35
11,4.5,0.919,271,249,1,0.977,66.9,1,B,1,34,8,147.6,93.59
11,5,0.948,244,231,0,1,79.2,0,C,1,32,7,122.7,79.47
9,4.2,0.889,223,198,1,0.921,90,0,C,1,33,7,202.4,89.77
2,3.2,0.826,106,87,1,0.749,54.1,3,B,1,31,4,111.2,63.39
3,2.9,0.871,67,58,0,0.732,48.8,2,A,1,13,1,86.9,45.61
9,3.5,0.863,230,198,1,0.778,82.3,0,B,1,2,8,133.6,90.65
3,2.9,0.855,80,68,0,0.792,61.4,2,C,0,30,3,73.1,53
1,3.4,0.878,56,49,0,0.694,46.9,3,C,1,10,1,92.7,38.83
5,4,0.861,149,128,0,0.697,87.3,1,C,1,23,5,109.7,65.06
10,3.7,0.891,213,189,1,0.907,82,0,C,1,33,7,132.5,86.68
7,4.4,0.989,168,166,1,0.911,69.3,1,A,1,29,4,112.8,89.04
5,3.6,0.853,112,95,1,0.859,60.9,1,A,1,30,6,141.8,82.01
1,3.4,0.805,93,74,1,0.788,68.6,2,C,1,34,3,76.6,63.36
6,4.6,0.874,177,154,1,0.89,80.2,0,C,0,17,3,91.2,85.03
11,4.9,0.952,203,193,1,1,85.4,0,C,0,22,8,169.9,100
1,3.2,0.777,26,20,0,0.653,48.3,4,B,0,5,0,67.4,34.83
5,3.4,0.858,98,84,1,0.816,78.2,2,B,1,11,6,139.4,80.81
9,3.4,0.95,193,183,1,0.953,86.8,0,B,1,22,6,197.2,89.35
7,3.7,0.857,173,148,1,0.862,71.4,2,C,1,32,7,77.9,83.1
7,3.9,0.854,189,161,1,0.851,88,0,C,0,24,6,114.8,88.28
7,3.6,0.861,162,139,1,0.862,65.3,2,B,1,11,5,140.2,77.65
3,3.5,0.766,91,69,0,0.772,85,2,A,1,11,3,101.7,54.04
2,3.5,0.773,68,52,1,0.739,69.6,0,A,0,17,4,133.6,66.38
8,4.1,0.853,203,173,1,0.834,71,0,A,1,32,7,143.4,87.92
8,3.9,0.889,208,184,1,0.802,73.2,0,C,1,19,5,150.1,86.54
9,4.3,0.945,236,223,1,0.912,90.5,1,C,1,27,7,164.9,88.53
10,4.6,0.989,246,243,1,0.956,82.8,0,C,1,32,7,139.6,94.37
5,3.4,0.851,128,108,1,0.824,80.2,0,C,0,25,4,135.5,74.87
4,4.2,0.857,132,113,0,0.852,83.9,2,B,1,28,4,124.2,56.8
8,4.1,0.901,161,145,1,0.947,70.7,0,C,0,27,5,147.1,85.31
6,3.9,0.757,168,127,0,0.806,75.5,0,C,1,14,3,70.5,63.7
7,4.3,0.818,148,121,1,0.843,72.8,0,B,1,2,5,113.2,92.2
8,4.2,0.927,202,187,1,0.927,89.2,0,C,1,17,7,149.6,96.28
9,4.6,0.946,209,197,1,0.944,73.9,0,C,1,1,7,149.1,96.4
3,3.7,0.863,97,83,0,0.766,70.1,2,B,1,32,4,126.5,58.89
3,3.3,0.812,119,96,0,0.806,97,2,B,0,19,1,126.7,54.43
1,3.5,0.694,64,44,0,0.694,81.9,0,B,1,14,0,98.3,45.51
5,3.3,0.797,112,89,0,0.799,60.1,2,A,1,31,4,142.7,57.41
0,3.2,0.736,27,19,0,0.717,75.8,2,A,0,18,3,95,36.2
4,3.7,0.866,130,112,1,0.792,79.3,2,C,0,14,3,96.2,68.4
5,3.7,0.83,124,102,0,0.82,59.3,1,C,0,14,4,119.8,61.4
2,3.4,0.892,98,87,1,0.794,66.7,1,A,1,24,4,63,59.84
5,3,0.922,162,149,1,0.883,61.1,2,B,0,5,3,164.8,70.67
0,3,0.864,71,61,1,0.772,40,2,B,0,16,0,42.4,58.62
0,3.2,0.734,75,55,1,0.709,63.2,1,B,0,5,0,20,55.5
8,4.2,0.914,166,151,1,0.764,70.9,0,C,0,13,6,207.6,87.7
3,3.1,0.797,65,51,1,0.781,56.3,2,C,1,16,3,101.2,63.71
1,3.8,0.81,62,50,0,0.756,66.4,5,B,0,15,1,114.8,43.38
5,3.4,0.808,164,132,1,0.838,47.1,1,A,0,31,5,142,79.99
7,4.4,0.937,195,182,1,0.836,76,1,C,0,5,6,167.4,93.57
2,3.6,0.768,108,82,0,0.636,68.2,0,B,0,21,4,113.7,54.75
6,3.7,0.764,161,123,1,0.854,82.1,2,B,1,30,4,145.9,71.21
1,4,0.895,74,66,0,0.7,47.3,3,A,1,23,1,20,50.87
0,2.7,0.802,33,26,0,0.777,90.7,4,B,0,29,3,51.1,37.08
5,4.2,0.795,115,91,1,0.775,93.6,0,C,0,13,3,41.2,82.03
5,4.2,0.84,103,86,1,0.767,63.2,0,C,0,32,6,95.4,80.09
6,3.6,0.833,159,132,1,0.851,91.5,2,C,1,27,3,112,71.39
7,4.6,0.876,172,150,1,0.896,85.8,0,B,1,34,5,132.5,87.14
11,4.4,0.97,253,245,1,0.994,76.2,0,A,1,33,7,139.6,93.62
5,3.9,0.88,150,132,1,0.855,65.2,1,B,0,4,5,109.4,78.88
3,3.7,0.834,109,90,1,0.744,63.1,2,C,0,18,3,88.5,71.08
8,4.1,0.889,218,193,1,0.811,110,0,B,1,6,7,154.4,91.16
2,3.8,0.861,60,51,0,0.75,84.3,2,B,0,28,3,118.8,45.14
4,4,0.738,103,76,1,0.712,68.6,2,A,0,27,3,118.4,69.68
0,2.5,0.743,42,31,1,0.72,63.6,1,C,0,26,1,98.9,47.62
0,3.7,0.731,76,55,0,0.738,75.2,3,C,0,20,0,85.7,32.06
11,3.8,0.98,267,261,1,0.978,91.1,0,B,1,13,8,203.6,94.53
8,4.6,0.852,202,172,1,0.876,65.5,1,C,1,28,4,199.9,88.08
7,4.5,0.811,154,124,1,0.83,79.1,0,A,1,34,5,62.6,87.39
3,3.1,0.848,105,89,1,0.833,62.9,3,B,0,23,3,138,67.75
1,3.2,0.748,93,69,1,0.626,68.3,1,A,1,10,0,49.3,58.91
1,2.9,0.776,85,65,0,0.666,65.9,0,A,0,30,1,93.6,45.81
2,3.4,0.926,97,89,1,0.881,80.2,5,A,0,22,1,103.8,62.99
5,3.7,0.888,149,132,0,0.77,69.3,1,C,1,5,5,138.3,66.1
7,4.3,0.865,190,164,1,0.888,76.9,0,C,1,9,4,134.5,81.88
6,4.4,0.856,174,148,1,0.878,51.5,0,A,0,4,3,127.9,83.42
2,4,0.853,70,59,1,0.671,71.9,1,B,1,1,2,106.3,65.34
11,4.3,0.963,224,215,1,0.877,72.2,0,B,1,34,8,157.6,91.33
7,3.9,0.879,205,180,1,0.929,57.3,0,B,1,26,7,79,85.4
5,3.1,0.853,123,104,0,0.773,86,0,C,0,18,6,119.9,62.63
6,3.6,0.788,153,120,1,0.773,73.5,2,A,0,16,3,105.5,74.94
4,4.1,0.75,118,88,1,0.747,46.1,3,B,0,23,3,87,67.64
2,4.1,0.798,105,83,1,0.702,58.6,0,B,0,26,3,68.1,70.28
3,3.1,0.789,89,70,1,0.793,69.6,2,A,0,2,2,44.9,65.39
7,3.8,0.905,160,144,0,0.815,75.9,1,B,1,5,6,124,67.86
0,3.2,0.79,22,17,1,0.614,59,0,C,1,29,1,80,52.24
1,3.4,0.755,39,29,1,0.777,40,4,C,0,4,3,111,57.01
