mileage,vehicle_age_years,condition_rating,capacity,fuel_efficiency_num,distance,required_capacity,capacity_utilization,last_maintenance_days,engine_type,tire_condition,avg_fuel_consumption_per_100km,gps_tracker_installed,ac_working,load_type,breakdown_count_last_year,score
242673,9,6,800,2,337,402,0.502,63,diesel,2,14.4,1,0,hazardous,0,61.23
38360,0,10,500,3,498,352,0.704,207,diesel,4,21.2,1,1,standard,0,84.2
248714,10,5,800,2,275,585,0.731,9,diesel,2,10.2,1,0,bulk,1,57.37
77589,2,9,300,2,306,150,0.5,88,diesel,4,12.2,0,1,refrigerated,1,74.41
219203,8,9,800,3,374,345,0.431,54,electric,3,15.5,1,1,refrigerated,0,52.63
189745,7,6,1000,2,341,483,0.483,19,petrol,4,13,1,0,standard,0,55.93
254220,10,5,300,3,369,199,0.663,50,petrol,2,18.8,1,1,fragile,0,46.75
130036,5,9,1000,2,76,512,0.512,27,diesel,3,13,1,1,standard,0,71.12
39850,0,9,500,1,479,217,0.434,55,diesel,4,8.7,1,1,standard,1,69.82
226585,7,8,500,2,122,333,0.666,1,petrol,3,11.1,1,0,bulk,0,62.7
131271,5,10,500,1,290,461,0.922,37,diesel,3,10,1,1,refrigerated,0,80.13
79207,3,10,1000,3,482,508,0.508,42,diesel,4,17.2,1,1,standard,0,74.52
255785,10,7,500,2,389,477,0.954,72,electric,2,13.3,1,1,hazardous,0,50.19
94121,2,8,1000,1,394,703,0.703,144,diesel,4,9,1,1,standard,1,83.14
157646,5,8,1500,1,452,678,0.452,41,petrol,3,9.7,1,1,standard,0,63.56
34564,2,10,500,3,305,312,0.624,19,electric,4,17.2,0,1,bulk,1,68.13
218839,10,5,800,1,323,489,0.611,113,diesel,2,8.7,0,0,bulk,1,50.58
139172,6,7,800,3,21,375,0.469,17,diesel,3,18.2,0,0,refrigerated,0,41.96
143032,4,7,300,2,21,141,0.47,2,petrol,4,13.5,0,0,fragile,1,51.23
127221,4,6,800,2,468,473,0.591,4,diesel,4,14.8,1,1,hazardous,2,60.94
223030,8,8,1000,1,69,871,0.871,176,diesel,2,7.6,1,1,standard,0,74.41
67946,2,10,1500,3,96,628,0.419,72,diesel,3,17.4,1,0,hazardous,0,59.32
203189,7,7,300,2,191,254,0.847,25,diesel,2,13.3,0,1,standard,0,69.49
122891,6,9,300,1,404,258,0.86,30,petrol,4,6,1,1,standard,0,81.28
198962,8,6,500,2,391,317,0.634,57,diesel,3,15.4,1,1,bulk,0,57.48
52839,0,8,800,2,125,722,0.902,55,petrol,4,12,1,1,hazardous,2,71.19
135725,5,8,800,1,187,525,0.656,79,diesel,4,7.7,1,1,refrigerated,2,69.8
149974,6,4,1000,2,59,455,0.455,9,diesel,3,14.3,0,0,standard,1,39.78
5861,1,10,500,2,89,372,0.744,15,electric,4,14.4,1,1,standard,0,90.6
193441,6,5,1000,1,255,408,0.408,49,diesel,2,9.2,1,0,standard,1,55.54
21941,0,8,800,3,353,602,0.752,68,diesel,5,18.4,1,0,bulk,1,79.36
240702,10,7,500,3,480,403,0.806,33,diesel,3,19.7,1,1,standard,0,61.45
98340,2,6,300,2,347,177,0.59,145,petrol,2,13,1,1,standard,2,60.81
39081,0,9,1500,3,231,1387,0.925,53,diesel,5,15.9,1,1,hazardous,2,76.44
128071,6,6,1500,2,230,1041,0.694,60,diesel,3,13.5,1,0,standard,1,59.65
70070,3,10,500,3,56,355,0.71,48,petrol,5,17.2,1,1,bulk,0,86.79
274169,9,6,800,2,183,631,0.789,7,diesel,2,12,0,1,standard,3,59.97
264835,10,7,800,1,319,782,0.978,54,diesel,2,9,1,0,fragile,0,62.17
22477,0,7,500,2,21,354,0.708,1,petrol,5,9.6,1,0,bulk,0,86.41
219011,7,7,500,1,465,347,0.694,74,petrol,2,8.3,1,1,fragile,0,61.48
114227,4,8,800,2,235,578,0.722,19,diesel,4,13.1,1,1,refrigerated,1,79.98
117839,5,6,500,1,480,433,0.866,22,diesel,4,10.9,0,1,standard,0,77.52
207391,7,7,300,1,374,248,0.827,120,diesel,2,10,1,0,hazardous,0,74.05
224830,8,4,500,2,331,436,0.872,293,petrol,4,10.9,0,0,standard,0,55.28
1032,1,10,1000,1,181,862,0.862,103,petrol,4,9.6,1,0,hazardous,0,88.13
151188,6,8,1500,2,424,1318,0.879,19,petrol,3,13.9,1,1,hazardous,0,78.76
139647,4,8,500,3,247,291,0.582,120,petrol,2,17.9,1,1,fragile,0,63.04
67713,3,8,500,3,443,208,0.416,2,petrol,5,17.9,1,1,bulk,0,57.94
248047,10,6,300,1,388,289,0.963,5,petrol,4,7.9,0,1,bulk,3,54.77
161892,4,7,1500,2,190,1111,0.741,85,diesel,4,12.7,1,1,refrigerated,0,73
270567,11,6,500,3,466,343,0.686,88,diesel,2,17.7,1,0,standard,0,51.9
253031,11,7,1000,2,186,762,0.762,65,petrol,2,12.4,1,1,fragile,1,65.62
31747,1,7,500,3,252,308,0.616,224,electric,3,18.5,0,1,standard,3,62.34
133989,6,9,800,2,127,561,0.701,12,petrol,3,18.1,1,1,standard,1,78.25
272698,11,7,500,2,96,478,0.956,63,petrol,2,13.4,1,0,hazardous,1,50.65
151081,6,9,1500,1,388,1441,0.961,107,diesel,3,7.2,1,1,fragile,0,72.66
256947,11,5,800,2,244,579,0.724,71,diesel,1,10.8,1,1,hazardous,1,56.02
151319,7,8,500,2,303,314,0.628,188,petrol,2,14.2,1,1,standard,0,59.59
153414,4,7,800,2,91,372,0.465,86,diesel,2,11.2,0,1,hazardous,3,48.57
18388,0,10,500,1,52,441,0.882,1,electric,5,10.6,1,1,standard,0,92.45
9069,2,8,800,3,366,589,0.736,29,diesel,5,20.1,0,1,bulk,1,85.11
238689,9,5,300,3,307,190,0.633,32,electric,3,19.5,1,1,standard,2,45.56
65102,2,8,500,1,481,233,0.466,42,petrol,5,8.3,1,1,refrigerated,0,65.55
140037,5,8,800,3,338,354,0.442,22,petrol,3,16.8,1,1,refrigerated,2,51.18
119930,3,8,500,2,489,270,0.54,29,diesel,4,10.4,1,0,bulk,0,66.38
95598,3,7,500,2,235,411,0.822,179,petrol,3,9.6,1,0,hazardous,1,67.64
146829,4,5,500,1,433,270,0.54,5,diesel,4,8.4,1,1,bulk,1,70.77
66246,2,8,800,2,29,426,0.532,4,petrol,5,10.5,1,1,refrigerated,0,73.88
243326,10,6,1000,3,369,650,0.65,1,electric,4,18.9,1,0,fragile,0,52.28
158436,5,4,300,1,372,177,0.59,164,diesel,2,8.1,1,1,fragile,2,63.53
16531,2,10,500,3,139,385,0.77,41,diesel,5,19.2,1,1,hazardous,0,87.73
146135,5,5,300,2,166,289,0.963,6,diesel,3,15.4,0,0,standard,1,55.34
133770,6,7,500,2,128,232,0.464,44,electric,3,14.2,1,1,standard,0,60.04
198531,7,7,800,1,419,746,0.932,75,diesel,3,9.6,1,1,refrigerated,1,56.5
133406,4,7,1000,3,256,455,0.455,125,petrol,4,18.8,1,1,standard,0,54.22
227075,9,7,500,2,179,371,0.742,33,diesel,2,12.2,1,1,standard,0,69.08
250703,10,6,800,3,173,746,0.932,68,diesel,2,17.4,1,1,standard,0,48.54
33989,1,10,500,2,199,385,0.77,17,diesel,5,11,1,1,fragile,0,96.97
196515,6,4,800,2,242,424,0.53,11,diesel,2,16.3,1,1,bulk,0,55.27
42212,2,6,500,2,415,399,0.798,29,petrol,5,13,0,1,standard,0,83.02
120255,3,5,500,1,403,418,0.836,14,diesel,4,9.7,1,0,bulk,1,77.71
238817,9,6,800,1,339,445,0.556,154,diesel,3,8.4,1,1,fragile,0,56.23
252453,11,6,500,1,333,372,0.744,2,diesel,2,7.2,0,1,fragile,2,62.37
14532,1,10,1500,3,304,750,0.5,116,electric,4,16.1,0,1,bulk,0,73.23
19617,1,9,1000,1,387,910,0.91,147,petrol,5,6,1,1,bulk,1,88.44
13945,0,10,800,2,197,763,0.954,55,electric,5,15.4,1,1,hazardous,0,81
47583,3,9,500,2,69,408,0.816,99,petrol,4,13.1,1,1,standard,0,83.81
21773,0,8,500,2,168,421,0.842,29,diesel,5,14.1,1,0,standard,2,88.28
149211,4,7,800,3,44,448,0.56,203,petrol,2,17.9,0,1,standard,0,63.19
89251,3,8,800,2,206,672,0.84,28,diesel,5,13.3,1,0,bulk,0,81.45
225415,10,7,300,3,297,267,0.89,8,petrol,3,19.6,1,1,refrigerated,0,66.65
68988,1,9,800,2,467,765,0.956,81,petrol,4,12,1,1,bulk,0,80.17
98004,3,9,800,2,495,438,0.548,51,electric,4,11.7,1,0,refrigerated,1,75.51
38281,2,10,1500,2,28,1468,0.979,18,petrol,4,11,1,0,bulk,0,83.1
1271,1,9,300,2,95,182,0.607,130,petrol,4,9.8,1,0,standard,1,76.79
16914,0,8,500,1,447,389,0.778,226,diesel,4,6.1,0,0,standard,2,80.19
128855,5,7,300,2,371,139,0.463,41,electric,3,14.1,1,1,bulk,0,62.66
213697,7,5,1500,1,91,1324,0.883,129,petrol,2,7.7,1,1,fragile,2,61.73
236159,8,5,300,2,191,224,0.747,3,diesel,1,11.2,1,1,fragile,1,59.89
193037,6,8,300,2,378,147,0.49,31,diesel,3,12.1,1,1,bulk,0,54.13
201803,7,5,1500,2,422,997,0.665,126,diesel,2,12.5,1,0,standard,3,49.88
116409,2,7,300,3,125,268,0.893,32,diesel,4,17.1,1,1,hazardous,0,81.92
97310,3,9,300,1,429,164,0.547,36,diesel,5,8.1,1,1,bulk,0,80.91
87757,3,7,300,3,179,214,0.713,32,diesel,5,20.2,0,1,hazardous,1,72.54
241097,9,8,1500,1,446,1175,0.783,77,petrol,2,8.7,1,1,standard,1,67.39
56254,2,10,500,2,472,306,0.612,3,diesel,5,12,1,1,standard,1,83.34
232995,8,8,500,2,321,200,0.4,61,electric,1,9.9,0,1,fragile,0,45.75
109139,5,7,800,2,98,662,0.828,18,diesel,4,13.4,1,0,fragile,2,77
170059,7,7,1500,3,401,1059,0.706,120,petrol,3,19.5,0,1,bulk,0,61.51
205227,6,5,800,1,452,488,0.61,64,petrol,2,12.6,1,0,fragile,1,52.92
90155,3,7,500,2,118,489,0.978,95,petrol,3,13,1,1,bulk,0,71.08
73684,2,9,500,3,306,288,0.576,27,diesel,5,21,1,1,fragile,0,76.82
110831,4,7,1000,3,326,574,0.574,77,diesel,3,19,0,0,bulk,3,54.84
77648,4,10,1000,3,371,795,0.795,19,diesel,5,17.6,1,1,bulk,0,83.04
128614,6,10,500,3,212,218,0.436,91,petrol,3,16.8,1,1,standard,2,59.04
145716,7,7,800,1,385,346,0.432,259,petrol,3,8.3,1,1,bulk,0,56.52
246629,9,7,800,3,91,613,0.766,63,diesel,3,16.1,1,0,standard,0,62.05
140986,5,10,800,2,224,712,0.89,351,diesel,2,10.2,1,1,hazardous,0,81.27
31455,0,9,1000,2,302,543,0.543,65,petrol,5,12,1,1,bulk,0,79.91
112541,3,7,500,3,238,399,0.798,90,diesel,4,19.4,1,1,standard,0,69.35
110001,4,8,800,1,189,738,0.922,1,diesel,2,8.2,0,1,bulk,1,66.27
203174,6,9,500,1,131,312,0.624,13,diesel,3,8.4,1,1,standard,0,70.14
76375,3,8,500,2,309,240,0.48,35,petrol,4,15,0,1,bulk,0,62.65
101295,4,7,1000,1,251,549,0.549,81,diesel,4,9.2,1,1,standard,0,73.9
159434,6,5,1500,3,217,740,0.493,78,diesel,3,17.8,0,1,standard,1,39.12
255976,10,3,1500,2,195,1302,0.868,79,diesel,2,11.9,0,0,standard,1,47.31
82129,2,9,1000,1,409,430,0.43,10,petrol,4,9.3,1,1,standard,1,67.37
39223,2,8,800,2,214,367,0.459,90,diesel,4,15.2,0,1,standard,0,62.44
21510,1,10,500,3,287,343,0.686,88,diesel,5,17.9,1,1,hazardous,0,80.58
149464,6,8,500,2,398,231,0.462,23,diesel,3,13.8,0,1,fragile,0,57.74
24779,0,9,1500,3,217,1002,0.668,13,diesel,4,17.6,1,1,hazardous,0,79.95
243444,10,7,1000,2,416,913,0.913,7,diesel,3,13.4,1,0,bulk,1,52.32
237635,9,8,300,2,298,227,0.757,56,petrol,3,15.4,1,1,standard,0,70.89
231381,10,6,800,3,271,691,0.864,39,diesel,2,19.4,0,1,standard,1,55.81
106936,3,7,1000,1,451,963,0.963,12,electric,4,10.4,1,0,bulk,2,70.89
97350,3,9,300,1,314,153,0.51,20,electric,4,8.7,1,1,standard,2,75.62
160669,7,6,800,1,407,648,0.81,92,petrol,2,9.5,1,1,standard,2,69.45
31911,0,8,1000,1,257,664,0.664,42,diesel,5,9,1,0,standard,0,83.43
150386,4,7,800,2,243,657,0.821,164,electric,4,12.5,1,0,refrigerated,0,74.71
187748,8,8,500,1,131,228,0.456,6,diesel,2,7.7,0,1,standard,0,55.79
54808,2,8,500,2,328,460,0.92,37,diesel,4,14,1,0,fragile,0,74.16
130515,6,7,800,3,66,445,0.556,169,petrol,3,18,1,0,fragile,1,59.74
260513,11,7,500,2,374,272,0.544,42,electric,2,12.6,0,1,standard,0,52.93
19970,0,10,500,1,425,429,0.858,45,petrol,5,7.5,1,0,standard,0,92.97
67454,4,10,500,3,412,298,0.596,42,petrol,4,19,1,1,refrigerated,0,78.02
12368,0,10,500,2,484,438,0.876,61,diesel,5,12,1,1,hazardous,0,93.6
260343,8,7,300,2,421,198,0.66,2,diesel,2,14.2,0,1,bulk,0,54.84
276370,10,6,1000,1,276,727,0.727,15,petrol,2,11.7,1,0,bulk,1,71.51
52408,1,10,300,1,348,145,0.483,100,diesel,4,9.1,0,1,standard,1,64.18
212914,7,6,500,1,239,227,0.454,86,diesel,2,9,0,1,bulk,1,44.33
251587,11,5,500,2,66,218,0.436,73,diesel,2,11,0,1,refrigerated,1,42.47
147569,6,7,300,2,427,251,0.837,149,electric,3,11.2,1,1,standard,1,68.92
38402,0,10,800,2,467,548,0.685,1,diesel,4,11.5,1,1,standard,0,81.97
66153,2,10,800,2,180,409,0.511,3,petrol,5,13.1,1,0,fragile,0,81.94
39072,1,9,500,2,164,423,0.846,1,petrol,5,14.3,0,1,hazardous,0,89.08
92291,4,7,300,3,245,127,0.423,37,diesel,4,17.3,0,1,standard,1,48.59
248854,11,4,800,1,296,717,0.896,214,petrol,2,9.2,0,0,fragile,0,59.02
95564,3,7,500,3,212,305,0.61,57,diesel,3,19.2,1,0,standard,2,61.57
265452,10,6,500,2,130,295,0.59,132,diesel,2,11.9,1,1,refrigerated,2,51.7
79593,3,8,800,1,109,357,0.446,9,diesel,4,11.1,1,0,standard,2,61.1
184213,7,4,800,1,78,517,0.646,99,diesel,4,9.6,0,0,standard,1,51.19
58154,3,7,800,2,426,661,0.826,14,diesel,4,12.6,1,1,refrigerated,0,84.64
123054,2,7,800,3,440,432,0.54,70,petrol,2,17.8,1,0,bulk,0,60.45
159232,6,9,800,2,498,669,0.836,110,petrol,2,14.5,1,1,refrigerated,0,77.49
23514,1,9,500,2,192,481,0.962,103,petrol,3,14.7,1,1,standard,1,76.54
11318,0,6,500,2,161,318,0.636,52,diesel,4,10.9,0,1,bulk,0,71.36
271833,8,3,300,2,126,183,0.61,37,diesel,2,11.1,0,0,bulk,1,42.21
69178,1,9,500,2,455,294,0.588,35,petrol,4,12.7,1,0,standard,0,78.69
179554,7,8,500,1,449,296,0.592,35,diesel,4,11.6,1,1,bulk,0,68.85
234256,11,5,800,2,220,401,0.501,102,petrol,2,10.7,0,0,hazardous,1,45.41
184506,5,8,500,1,118,373,0.746,100,petrol,2,8.8,1,0,standard,0,78.48
120404,4,8,1000,3,367,796,0.796,1,diesel,4,19,1,1,standard,2,72.24
164233,8,8,1500,2,220,893,0.595,53,diesel,3,15.8,1,1,bulk,0,62.15
236775,10,6,500,1,360,247,0.494,151,petrol,1,9.4,1,1,bulk,0,43.1
238076,9,6,1500,2,422,1463,0.975,27,electric,2,15.1,1,1,standard,1,51.19
260526,8,1,800,2,74,765,0.956,11,diesel,3,14.1,0,0,standard,2,36.5
211534,9,9,1000,1,53,619,0.619,20,petrol,3,10,1,1,fragile,3,66.29
45915,3,8,800,2,180,364,0.455,11,diesel,5,11.2,0,1,bulk,1,66.52
121306,8,9,1000,1,327,644,0.644,10,diesel,4,6,1,1,fragile,0,76.71
24065,0,9,1000,2,146,842,0.842,20,diesel,5,10.7,0,1,standard,0,87
33277,0,9,500,1,458,294,0.588,121,petrol,4,9.4,1,0,bulk,0,88
156986,6,6,1500,2,395,1405,0.937,56,petrol,3,13.5,1,0,standard,0,53.79
121232,3,9,500,3,203,464,0.928,44,petrol,4,16.3,0,1,fragile,1,64.81
96299,3,8,1500,2,483,967,0.645,65,petrol,4,15.2,1,1,refrigerated,0,75.64
157340,7,6,1000,3,388,613,0.613,119,diesel,3,17.8,0,1,refrigerated,1,46.47
68781,4,9,300,3,313,291,0.97,75,electric,4,17.3,0,1,standard,2,71.31
42526,3,9,800,3,360,559,0.699,8,petrol,5,17.9,0,1,standard,0,75.77
85065,2,10,800,3,267,433,0.541,20,petrol,4,16,1,1,standard,0,76.94
8963,0,10,500,2,60,411,0.822,45,diesel,5,13.8,1,1,hazardous,0,97.15
186297,6,9,300,2,353,139,0.463,276,petrol,2,14,1,0,standard,0,50.34
227180,10,5,800,2,88,776,0.97,95,petrol,2,12.6,1,1,bulk,0,51.38
127526,6,6,1000,3,244,652,0.652,86,diesel,3,19.8,0,0,refrigerated,2,54.39
279782,10,5,300,2,63,169,0.563,44,diesel,2,10,0,0,standard,1,40.43
225023,9,7,500,2,309,358,0.716,180,diesel,2,11.3,1,0,standard,2,59.47
223142,8,6,800,2,357,382,0.478,48,diesel,3,11.2,1,1,standard,0,51.99
278559,11,4,500,2,421,446,0.892,67,petrol,2,13.2,0,0,bulk,0,57.07
61301,3,8,1000,1,100,612,0.612,3,diesel,4,7,1,1,hazardous,1,78.39
63773,2,9,500,1,163,302,0.604,90,petrol,3,7.1,1,1,fragile,1,78.86
45727,0,9,300,1,303,225,0.75,217,diesel,4,7.5,1,1,bulk,0,88.66
19200,2,10,800,2,380,683,0.854,215,diesel,4,12.7,1,1,bulk,1,83.67
80587,3,4,300,2,94,215,0.717,29,diesel,4,12.6,1,0,bulk,0,72.61
92723,4,10,1500,1,52,1463,0.975,1,diesel,4,6.5,1,1,fragile,0,83.04
133729,4,10,800,2,399,380,0.475,26,electric,5,14.6,1,1,hazardous,0,64.41
250612,10,8,1000,2,154,745,0.745,106,petrol,2,13.2,0,0,refrigerated,0,67.69
109991,4,10,800,1,411,744,0.93,66,petrol,3,8.6,1,1,hazardous,1,79.16
60333,0,9,800,3,162,677,0.846,146,diesel,4,17.3,1,0,standard,1,75.13
120899,5,8,300,2,143,264,0.88,7,electric,3,13.2,1,1,hazardous,0,79.02
